symbol,companyName,lastPrice,change,pChange,dayHigh,dayLow,totalTradedVolume,timestamp
INFY.NS,,,,,,,,2025-05-07 07:29:43
TCS.NS,,,,,,,,2025-05-07 07:29:47
TCS.NS,,,,,,,,2025-05-07 07:29:48
INFY.NS,,,,,,,,2025-05-07 07:29:48
TCS.NS,,,,,,,,2025-05-07 07:29:52
TCS.NS,,,,,,,,2025-05-07 07:29:54
INFY.NS,,,,,,,,2025-05-07 07:29:54
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:40:12
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:40:17
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:40:23
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:40:28
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:40:33
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:40:38
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:40:44
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:40:49
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:40:54
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:40:59
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:41:05
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:41:10
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:42:38
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:42:43
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:42:48
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:42:54
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:42:59
